timestamp,energy_demand_kw,temperature_c,cloud_cover_pct,wind_speed_ms,humidity_pct,solar_output_kw,battery_level_pct,hour_of_day,day_of_week,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,demand_lag_1h,demand_lag_24h,demand_roll_6h,effective_solar
2024-01-02 00:00:00,122.4,8.8,25,3.0,66,0.0,66.5,0,1,1,0,0.0,1.0,0.7818314824680298,0.6234898018587336,148.3,120.5,192.16666666666666,0.0
2024-01-02 01:00:00,116.8,8.5,28,2.7,68,0.0,65.2,1,1,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,122.4,115.3,171.21666666666667,0.0
2024-01-02 02:00:00,110.2,8.2,32,2.4,70,0.0,63.9,2,1,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,116.8,108.7,150.28333333333333,0.0
2024-01-02 03:00:00,104.5,8.0,36,2.2,72,0.0,62.6,3,1,1,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,110.2,102.1,131.29999999999998,0.0
2024-01-02 04:00:00,100.1,7.8,40,2.0,74,0.0,61.3,4,1,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,104.5,98.4,117.05,0.0
2024-01-02 05:00:00,104.3,8.1,38,2.3,73,0.0,60.0,5,1,1,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,100.1,102.8,109.71666666666668,0.0
2024-01-02 06:00:00,120.5,8.8,30,2.9,68,6.1,59.2,6,1,1,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,104.3,118.6,109.40000000000002,4.27
2024-01-02 07:00:00,148.6,10.2,24,3.4,63,22.3,59.8,7,1,1,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,120.5,145.2,114.7,16.948
2024-01-02 08:00:00,182.4,12.0,18,4.0,58,48.7,62.4,8,1,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,148.6,178.9,126.73333333333333,39.934000000000005
2024-01-02 09:00:00,202.8,14.2,14,4.5,54,75.2,67.1,9,1,1,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,182.4,198.3,143.11666666666667,64.672
2024-01-02 10:00:00,220.3,16.5,12,5.0,50,94.8,72.5,10,1,1,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,202.8,215.6,163.15,83.42399999999999
2024-01-02 11:00:00,232.7,18.0,10,5.3,47,104.6,78.2,11,1,1,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,220.3,228.4,184.54999999999998,94.14
2024-01-02 12:00:00,240.1,19.2,8,5.6,44,108.3,83.4,12,1,1,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,232.7,235.7,204.48333333333335,99.636
2024-01-02 13:00:00,234.5,19.5,10,5.4,45,105.1,87.6,13,1,1,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,240.1,230.2,218.80000000000004,94.59
2024-01-02 14:00:00,226.9,18.8,13,5.2,47,97.5,91.0,14,1,1,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,234.5,222.8,226.21666666666667,84.825
2024-01-02 15:00:00,222.3,18.0,18,4.9,50,83.2,92.5,15,1,1,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,226.9,218.5,229.46666666666667,68.224
2024-01-02 16:00:00,229.7,17.2,23,4.6,53,62.8,91.8,16,1,1,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,222.3,225.3,231.03333333333333,48.356
2024-01-02 17:00:00,243.2,15.8,28,4.2,57,36.4,90.2,17,1,1,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,229.7,238.7,232.78333333333333,26.208
2024-01-02 18:00:00,252.8,14.5,33,3.8,61,14.8,88.5,18,1,1,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,243.2,248.2,234.89999999999998,9.915999999999999
2024-01-02 19:00:00,246.4,13.0,38,3.4,64,2.5,86.8,19,1,1,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,252.8,242.5,236.88333333333335,1.55
2024-01-02 20:00:00,239.2,11.8,40,3.1,67,0.0,85.0,20,1,1,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,246.4,235.8,238.9333333333333,0.0
2024-01-02 21:00:00,221.8,10.8,42,2.9,69,0.0,83.4,21,1,1,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,239.2,218.4,238.85000000000002,0.0
2024-01-02 22:00:00,188.4,10.1,36,2.7,70,0.0,81.8,22,1,1,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,221.8,185.6,231.96666666666667,0.0
2024-01-02 23:00:00,151.2,9.5,28,3.0,68,0.0,80.5,23,1,1,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,188.4,148.3,216.63333333333333,0.0
2024-01-03 00:00:00,125.6,9.0,22,3.2,65,0.0,79.2,0,2,1,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,151.2,122.4,195.4333333333333,0.0
